train_acc,train_loss,val_acc,val_loss
0.044673684210526324,4.280002,0.066,4.03758
0.08475789473684212,3.8941581,0.1048,3.8061163
0.1234315789473684,3.6409745,0.1308,3.5080423
0.16692631578947367,3.4020379,0.18999999999999997,3.23377
0.2076842105263158,3.1709368,0.21479999999999996,3.1210973
0.24418947368421054,2.965352,0.26839999999999997,2.8139408
0.2791368421052632,2.784009,0.3072,2.6605787
0.3097473684210526,2.6186292,0.3256,2.5679464
0.3406736842105263,2.4828484,0.3292,2.5447233
0.3706736842105263,2.3593457,0.3728,2.3723722
0.38593684210526313,2.2645197,0.38280000000000003,2.3330374
0.40795789473684213,2.1732388,0.4036,2.2903621
0.42381052631578947,2.0928144,0.4244,2.1055813
0.4425263157894737,2.0129077,0.4164,2.1144185
0.45930526315789477,1.9616158,0.4372,2.1466782
0.4701894736842106,1.8967403,0.4539999999999999,1.9880484
0.4831578947368421,1.8494638,0.472,1.9683747
0.4980631578947369,1.7946513,0.47479999999999994,1.9379224
0.5085894736842106,1.7444942,0.4472,2.0119483
0.5181263157894738,1.7133003,0.49879999999999997,1.8322295
0.5273263157894736,1.674094,0.48,1.8698481
0.5349473684210526,1.6349707,0.474,1.8835489
0.5469263157894736,1.5929346,0.4988,1.8398839
0.5522947368421053,1.5694188,0.508,1.7850751
0.5616842105263157,1.5341438,0.5192,1.7810196
0.568,1.5073296,0.5148,1.7513404
0.5722105263157894,1.4845343,0.5228,1.7234806
0.5809684210526317,1.447176,0.528,1.7290552
0.5913052631578948,1.4193182,0.5296,1.676912
0.5954947368421053,1.4030646,0.528,1.7340262
0.6013052631578948,1.3745557,0.5452,1.678512
0.6055999999999999,1.3550142,0.5184,1.7848535
0.6118526315789473,1.3329533,0.5472,1.6472256
0.6199368421052632,1.3071393,0.548,1.7074214
0.6271999999999999,1.2803509,0.5404,1.6819614
0.6287578947368421,1.2639712,0.5456,1.7032505
0.6343578947368421,1.2463567,0.5372,1.7333789
0.6377052631578948,1.227626,0.5556,1.6499387
0.6447999999999999,1.2052064,0.5556,1.6552596
0.6450105263157895,1.197066,0.548,1.6970426
0.6535789473684209,1.1683357,0.5504,1.727303
0.6584210526315789,1.1516714,0.5628,1.6825294
0.6614315789473685,1.1404656,0.5656,1.6415007
0.6637052631578947,1.1207851,0.568,1.5793867
0.6700842105263158,1.1008698,0.5844,1.6090825
0.6733473684210527,1.0893023,0.5592,1.691057
0.6789684210526316,1.0705553,0.57,1.6258345
0.6857263157894736,1.0464455,0.5704,1.6085145
0.6879157894736841,1.0404464,0.5716,1.591871
0.6908842105263159,1.0324135,0.5608,1.6485237
0.693978947368421,1.0171802,0.5784,1.6578212
0.7007368421052632,0.9889847,0.5783999999999999,1.6121958
0.7025052631578947,0.9849761,0.57,1.6604575
0.7064842105263157,0.9657019,0.5724,1.6286386
0.712421052631579,0.95111555,0.5804,1.6237373
0.7095578947368422,0.94956785,0.5852,1.5624149
0.7172210526315789,0.92892253,0.5816,1.6225439
0.718421052631579,0.9205853,0.578,1.6305858
0.7245684210526315,0.9053792,0.5751999999999999,1.6212715
0.7268842105263158,0.8891354,0.5844,1.6201465
0.7275789473684211,0.88480514,0.5736000000000001,1.611537
0.7337684210526315,0.8670417,0.5876,1.6272
0.7376421052631579,0.8523234,0.5760000000000001,1.6662087
0.7388421052631579,0.84707916,0.5820000000000001,1.6254032
0.7456210526315789,0.8301814,0.5744,1.6610042
0.746042105263158,0.82635355,0.574,1.6535466
0.7513894736842106,0.8085262,0.5780000000000001,1.636945
0.7528842105263158,0.8021397,0.5784,1.6197413
0.7532421052631578,0.7957346,0.5855999999999999,1.647772
0.7593894736842106,0.7782298,0.5824,1.6584125
0.7632842105263158,0.76860964,0.5848,1.6567483
0.7651368421052631,0.76133955,0.5804,1.6456293
0.7673473684210527,0.75298107,0.5916,1.6532395
0.7671368421052631,0.7482157,0.5792,1.6613322
0.7721052631578947,0.7355438,0.5892,1.6468624
0.772021052631579,0.7320696,0.5860000000000001,1.6482004
0.7748631578947368,0.7214124,0.5804,1.66936
0.777263157894737,0.71558523,0.586,1.6616468
0.7798105263157894,0.70842826,0.5832,1.6817901
0.7807578947368421,0.70406985,0.5851999999999999,1.6928945
0.7827368421052632,0.6967613,0.5863999999999999,1.6761556
0.7857894736842105,0.6913938,0.5851999999999999,1.6714822
0.7851157894736842,0.686833,0.5932,1.6869687
0.7882105263157895,0.6751885,0.5916,1.681557
0.7882736842105263,0.6753077,0.5888,1.673222
0.7919157894736841,0.6624377,0.5900000000000001,1.6875329
0.7917894736842106,0.6671536,0.594,1.6967641
0.7924842105263158,0.66126144,0.5863999999999999,1.704391
0.7943157894736842,0.6553713,0.5879999999999999,1.6948282
0.798,0.6508298,0.5876,1.6899006
0.7960842105263157,0.65459603,0.5872,1.6914291
0.7956210526315789,0.6501738,0.5892000000000001,1.6934378
0.7996421052631579,0.64788467,0.5912,1.7113644
0.7991789473684211,0.646907,0.5908,1.6903923
0.7999578947368421,0.645202,0.5928,1.7079506
0.8030526315789472,0.6385207,0.5912,1.696833
0.8013684210526315,0.63774675,0.5924,1.6919885
0.8016421052631579,0.6341071,0.5883999999999999,1.6958001
0.8038315789473683,0.6340997,0.5912000000000001,1.7058356
0.8008,0.639145,0.5912,1.7048328
